Rank,Title,Year,Rating,URL
22,Lady Bird,2017,8.1,https://www.imdb.com/title/tt4925292/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_22
23,Home Alone,1990,7.5,https://www.imdb.com/title/tt0099785/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_23
24,Avengers: Infinity War,2018,NA,https://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_24
25,Darkest Hour,2017,7.2,https://www.imdb.com/title/tt4555426/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_25
26,Wonder,2017,8.1,https://www.imdb.com/title/tt2543472/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_26
27,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_27
28,Ferdinand,2017,6.8,https://www.imdb.com/title/tt3411444/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_28
29,How the Grinch Stole Christmas,2000,6.1,https://www.imdb.com/title/tt0170016/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_29
30,The Disaster Artist,2017,8.0,https://www.imdb.com/title/tt3521126/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_30
31,Mother!,2017,6.8,https://www.imdb.com/title/tt5109784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_31
32,Guardians of the Galaxy: Vol. 2,2017,7.8,https://www.imdb.com/title/tt3896198/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_32
33,Star Wars: The Force Awakens,2015,8.0,https://www.imdb.com/title/tt2488496/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_33
34,"Three Billboards Outside Ebbing, Missouri",2017,8.4,https://www.imdb.com/title/tt5027774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_34
35,"I, Tonya",2017,7.7,https://www.imdb.com/title/tt5580036/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_35
36,The Foreigner,2017,7.1,https://www.imdb.com/title/tt1615160/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_36
37,White Christmas,1954,7.6,https://www.imdb.com/title/tt0047673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_37
38,The Post,2017,6.8,https://www.imdb.com/title/tt6294822/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_38
39,Rogue One,2016,7.8,https://www.imdb.com/title/tt3748528/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_39
